reseña,oraciones_tokenizadas,rating,cluster
Esta es una tableta muy agradable para mi novia que nunca antes había tenido una.,['esta es una tableta muy agradable para mi novia que nunca antes había tenido una .'],5.0,1
Me encanta esta tableta. Fácil de usar. Y el precio era correcto,['me encanta esta tableta . fácil de usar . y el precio era correcto'],5.0,0
Precio asequible calidad increíble Me encanta mi tableta Amazon Fire,['precio asequible calidad increíble me encanta mi tableta amazon fire'],5.0,0
Compré esto después de hablar con un representante de ventas en Tigertown. Compré esto para mi hijo y le encanta. Es mi segundo kindle.,['compré esto después de hablar con un representante de ventas en tigertown . compré esto para mi hijo y le encanta . es mi segundo kindle .'],5.0,1
Compré esta tableta para mi hijo de 2 años y medio y es perfecta. Los juegos y videos que vienen son muy apropiados para la edad y la tableta ha sido muy duradera hasta ahora.,['compré esta tableta para mi hijo de dos años y medio y es perfecta . los juegos y videos que vienen son muy apropiados para la edad y la tableta ha sido muy duradera hasta ahora .'],5.0,0
Gran producto funciona directamente con acceso a Internet o a través de su teléfono,['gran producto funciona directamente con acceso a internet o a través de su teléfono'],5.0,0
"Todo el mundo debería tener un Amazon Echo. My Echo es como tener a alguien que hace exactamente lo que le pides rápidamente sin tener que pensarlo ni responderte :). ¡Me encanta mi Amazon Echo! Esto está más allá de todo lo que he usado en el pasado. Me encuentro confiando en él más que en cualquier otro dispositivo en mi casa. Toda la familia lo disfruta. Estamos planeando comprar un par más para tener en cada piso de la casa. ¡Lo amamos! Si ha estado pensando en comprar uno y no lo ha hecho, debe elegir uno hoy. ¡Estaras contento de haberlo hecho! ¡Un gran dispositivo/amigo que disfrutará toda la familia! Por cierto, ¡pedir comida rápida a domicilio es una de las preguntas favoritas de mi familia! :)","['todo el mundo debería tener un amazon echo . my echo es como tener a alguien que hace exactamente lo que le pides rápidamente sin tener que pensarlo ni responderte :) . me encanta mi amazon echo ! esto está más allá de todo lo que he usado en el pasado . me encuentro confiando en él más que en cualquier otro dispositivo en mi casa . toda la familia lo disfruta . estamos planeando comprar un par más para tener en cada piso de la casa . lo amamos ! si ha estado pensando en comprar uno y no lo ha hecho , debe elegir uno hoy . estaras contento de haberlo hecho ! un gran dispositivo / amigo que disfrutará toda la familia ! por cierto , pedir comida rápida a domicilio es una de las preguntas favoritas de mi familia ! :)']",5.0,1
"Disfruto mucho de Alexa. Mi estación de radio favorita está a solo una solicitud de distancia, al igual que la mayoría de la información. ¡Gran pieza de conversación!","['disfruto mucho de alexa . mi estación de radio favorita está a solo una solicitud de distancia , al igual que la mayoría de la información . gran pieza de conversación !']",5.0,1
Llevé mi Kindle a la playa. Puedes leer perfectamente bajo el sol. También me gusta leerlo acostado porque la página se mantiene en posición vertical. no va horizontal cuando lo mueves,['llevé mi kindle a la playa . puedes leer perfectamente bajo el sol . también me gusta leerlo acostado porque la página se mantiene en posición vertical . no va horizontal cuando lo mueves'],5.0,1
"Perfecto para leer, fácil de llevar, ¿por qué gastar más?","['perfecto para leer , fácil de llevar , ¿ por qué gastar más ?']",5.0,0
comprado para el día de la madre. Lo compré porque lo vi como uno de los mejores libros. Ella está muy feliz con la sorpresa.,['comprado para el día de la madre . lo compré porque lo vi como uno de los mejores libros . ella está muy feliz con la sorpresa .'],5.0,1
"No es una tableta de gama alta, pero es excelente para libros electrónicos y juegos livianos. Gran duración de la batería también","['no es una tableta de gama alta , pero es excelente para libros electrónicos y juegos livianos . gran duración de la batería también']",5.0,0
Vale la pena comprar este producto. Es perfecto para alguien a quien le gusta jugar o leer.,['vale la pena comprar este producto . es perfecto para alguien a quien le gusta jugar o leer .'],5.0,0
Gran tableta y excelente para los niños y fácil de usar y configurar. Tengo 5 para mis sobrinos y nunca tuve un problema con ellos.,['gran tableta y excelente para los niños y fácil de usar y configurar . tengo cinco para mis sobrinos y nunca tuve un problema con ellos .'],5.0,0
